#id,WR#,Reference,Name,Name 2,Name 3,Right Ascension J2000,Declination J2000,Galactic Longitude (deg),Galactic Latitude (deg),Spectral Type,Spectral Type Reference,Binary Status,Binary Status Reference,u,b,v,r,U,B,V,R,I,J,H,K,Cluster,Association,Distance (kpc),Distance Reference
627,102-3,LHO09,qF250,Q6,LHO09-79,17 46 15.39,-28 49 34.6,0.165,-0.064,WC9d,LHO09,,,,,,,,,,,,Nan,Nan,9.3,Quintuplet,,8,Re93
326,102h,VII,qF76,,FMM 95-2,17 46 15.60,-28 50 18.60,0.156,-0.069,WC9,FMM95,,,,,,,,,,,,Nan,Nan,11.44,Quintuplet,,8,Re93
327,102ha,VIIA,qF211,Q3; GCS 4,LHO99-19,17 46 15.85,-28 49 45.6,0.164,-0.065,WCLd+OB; WC8-9d+OB,TM06; LHO09,,,,,,,,,,,,Nan,Nan,7.2,Quintuplet,,8,Re93
328,102hb,VIIA,qF240,Q8,LHO09-67,17 46 15.92,-28 49 37.6,0.166,-0.064,WN9,FMM96; LHO09,,,,,,,,,,,,Nan,Nan,9.6,Quintuplet,,8,Re93
329,102i,VII,qF256,,LHO09-99,17 46 16.54,-28 49 31.5,0.169,-0.065,WN9+?; WN9,FMM96; LHO09,var.,GM99,,,,,,,,,,14.607,11.668,10.221,Quintuplet,,8,Re93
330,102-16,MC10,MC10 16,,,17 46 17.57,-28 53 03.7,0.121,-0.099,WN8-9h,MC10,,,,,,,,,,,,14.972,12.053,10.459,,,,
331,102j,VII,qF274,,FMM 96-5,17 46 17.60,-28 49 29.20,0.172,-0.068,WN9,FMM96,,,,,,,,,,,,14.66,11.772,10.41,Quintuplet,,8,Re93
332,102k,VII,qF309,,FMM 96-6,17 46 17.60,-28 49 18.90,0.174,-0.066,WC<8,FMM96,,,,,,,,,,,,Nan,Nan,11.6,Quintuplet,,8,Re93
333,102-7,MM10,WR102kaa,,CXOGC J174617.7-285007,17 46 17.70,-28 50 07.00,0.163,-0.074,WC9d,MM10,,,,,,,,,,,,13.99,10.37,7.84,,,,
334,102ka,VIIA,HBP 4,Peony nebula star,,17 46 18.12,-29 01 36.50,0.0001,-0.174,WN10,"HBP03, OSH13",,,,,,,,,,,,12.978,10.267,8.84,,,,
335,102-17,MC10,MC10 17,,G0.202-0.076,17 46 23.72,-28 48 11.6,0.202,-0.076,WN5b; WN6b,MC10; RC15,,,,,,,,,,,,16.33,13.265,11.434,,,,
336,102-1,HT08,,,CXOGC J174645.3-281546,17 46 45.34,-28 15 46.10,0.705,0.137,WC?,HT08,,,,,,,,,,,,Nan,Nan,Nan,,,,
337,102-8,MM10,,,CXOGC J174656.3-283232,17 46 56.30,-28 32 32.00,0.487,-0.042,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,,Nan,13.74,11.24,,,,
312,102-18,MC10,MC10 15,,G0.071-0.096,17 46 9.73,-28 55 31.9,0.071,-0.097,WN8-9h,MC10,,,,,,,,,,,,14.984,12.273,10.788,,,,
338,102-9,MM10,,,CXOGC J174711.4-283006,17 47 11.40,-28 30 06.00,0.55,-0.068,WN8-9h; WN9h,MM10; RC15,,,,,,,,,,,,16.56,12.573,10.467,,,,
339,102-10,MM10,,,CXOGC J174712.4-283121,17 47 12.40,-28 31 21.00,0.534,-0.082,WN7-8h; WN8o,MM10; RC15,,,,,,,,,,,,17.06,13.07,10.78,,,,
340,102-11,MM10,,,CXOGC J174713.0-282709,17 47 13.00,-28 27 09.00,0.595,-0.048,WN7-8h,MM10,,,,,,,,,,,,Nan,13.828,11.621,,,,
546,102-19,SFZ12,SFZ12 1322-220L,,,17 55 20.21,-24 07 38.2,5.24,0.6,WN5,SFZ12,,,,,,,,19.93,,16.8,,11.84,10.95,10.32,,,,
677,102-23,KSF14,1319-3BC0,,,17 57 16.87,-25 23 13.8,4.376,-0.416,WC7:,KSF14,,,,,,,,,,,,14.885,12.717,11.462,,,,
668,102-22,FSZ14,WR1327-14AF,,,17 59 02.27,-24 17 00.1,5.531,-0.209,WC7,FSZ14,,,,,,,,,,,,14.401,12.238,10.875,,,,
547,102-20,SFZ12,SFZ12 1327-25L,,,17 59 02.86,-24 20 51.12,5.48,-0.24,WC9,SFZ12,,,,,,,,,,,,13.78,12.38,10.89,,,,
678,102-24,KSF14,1338-2B3,,,17 59 07.99,-22 36 43.0,6.991,0.605,WN9,KSF14,,,,,,,,,,,,12.608,10.477,9.212,,,,
722,102-25,Mis13,KW03-083,359.88-03.58,,17 59 35.61,-30 51 32.3,359.883,-3.585,WN6,Mis13,,,,,,,,,,,,13.72,13.27,12.83,,,,
548,102-21,SFZ12,SFZ12 1342-208L,,,17 59 48.22,-22 14 52.4,7.38,0.65,WN6,SFZ12,,,,,,,,,,17.71,,11.4,10.29,9.47,,,,
341,102l,VII,SMSNPL 17,,SMSNPL 17,18 00 34.32,-22 47 39.20,6.998,0.226,WN8o,SMS99,,,,17.33,15.53,,,16.3,,12.7,,8.831,8.102,7.573,,,,
342,103,VII,,HIP 88287,HD 164270,18 01 43.14,-32 42 55.20,358.49,-4.89,WC9d+?,VI,"SB1, no d.e.l.","IM81,GH86,MLC86,SD87,BE89,CM89,SH89,SS90,NG99a,VII",9.13,9.04,9.01,9.23,8.52,9.06,8.81,,,7.75,7.207,6.37,,,,
343,104,VII,Ve2-45,,Ve2-45,18 02 04.07,-23 37 41.20,6.44,-0.49,WC9d+B0.5V (+VB),WH00,"SB2, VB","Cr97,MT99,TM99,WS99,WH00,TCD02,Wi02,WMS02",,14.85,13.54,,,,11.8,11.8,,6.67,4.34,2.42,Bo 14?,Sgr OB1?,2.3,LS84
344,105,VII,NS 4,GSC 6842-1547,Ve2-47,18 02 23.46,-23 34 37.70,6.52,-0.52,WN9h,SSM96,,MMEv98,,14.76,12.92,11.53,,,12.92,10.3,,7.035,6.254,5.729,,Sgr OB1:,2.3,LS84
664,105-1,FSZ14,WR1343-193E,,,18 02 46.23,-22 36 39.7,7.408,-0.124,WN6,FSZ14,,,,,,,,,,,,14.926,12.69,11.447,,,,
680,105-2,KSF14,1343-284,,,18 03 28.37,-22 22 58.9,7.686,-0.152,WN8-9,KSF14,,,,,,,,17.9,,14.7,,10.474,9.6,9.018,,,,
345,106,VII,IC14-8,GSC 6263-1874,HDE 313643,18 04 43.66,-21 09 30.70,8.9,0.2,WC9d,VI,,,14.17,13.13,12.33,11.96,13.39,13.09,11.89,11.3,,7.94,6.28,4.82,,,,
346,107,VII,DA 1,,,18 04 46.10,-21 51 27.00,8.29,-0.16,WN8o,SSM96,,,,15.42,14.1,,,,,,,Nan,Nan,Nan,,,,
347,107a,VII,SMSNPL 18,,SMSNPL 18,18 05 11.48,-22 13 22.40,8.02,-0.42,WC6; WC5-7,SMS99; RC17,,,,17.75,16.43,,,,,,,Nan,Nan,Nan,,,,
348,108,VII,HDE 313846,HIP 88597,LS 14,18 05 25.74,-23 00 20.30,7.36,-0.85,WN9ha,SSM96,"a, d.e.l.","CM89,VII",,10.96,10.16,,10.48,10.69,9.89,,,7.665,7.341,7.104,,Sgr OB1?,,
682,108-2,KSF14,1366-438,,,18 05 55.27,-19 29 44.1,10.483,0.765,WN7-8,KSF14,,,,,,,,,,,,15.964,12.429,10.395,,,,
667,108-1,FSZ14,WR1361-1583,,,18 07 05.16,-20 15 16.1,9.954,0.156,WN9,FSZ14,,,,,,,,,,,,14.867,12.671,11.162,,,,
349,109,VII,NS 3,,V617 Sgr,18 07 51.50,-35 10 20.00,356.94,-7.19,WN5h,SSM96,SB1,"SC88,SD98,CD99,SC99",,14.48,14.48,,,13.6,,,,13.786,13.519,13.272,,,,
350,110,VII,HD 165688,HIP 88828,,18 07 56.96,-19 23 56.80,10.8,0.39,WN5-6b,SSM96,,,11.48,11.05,10.3,9.74,10.48,10.47,9.73,,,7.118,6.716,6.223,,Sgr OB1?,,
351,111,VII,,HIP 88856,HD 165763,18 08 28.47,-21 15 11.20,9.24,-0.61,WC5,VI,,NG99a,7.99,8.21,8.23,8.46,7.16,7.86,7.67,,,7.277,7.143,6.51,,Sgr OB1:,,
352,111a,VIIA,FNG-1,,,18 08 38.32,-20 24 33.50,9.995,-0.238,WC8; WC9d,FNG05; BCF08,,,,,,,,,,,,Nan,Nan,11.6,SGR 1806-20,,8.7,BCF08
353,111b,VIIA,FNG-B,EGH 1,,18 08 39.24,-20 24 42.50,9.995,-0.242,WC9d,EGH01,,,,,,,,,,,,Nan,Nan,10.4,SGR 1806-20,,8.7,BCF08
354,111c,VIIA,FNG-2,,,18 08 39.42,-20 24 42.57,9.995,-0.243,WN6; WN6b,FNG05; BCF08,,,,,,,,,,,,Nan,Nan,12.16,SGR 1806-20,,8.7,BCF08
355,111d,VIIA,FNG-3,,,18 08 39.50,-20 24 35.88,9.997,-0.242,WN7,FNG05,,,,,,,,,,,,Nan,Nan,12.58,SGR 1806-20,,8.7,BCF08
720,111-8,KSF14,1367-638,,,18 09 06.22,-19 54 27.2,10.487,-0.09,WN9,KSF14,,,,,,,,,,,,15.964,12.429,10.395,,,,
727,111-14,NMP15,NMP15 #2,J180920.3-201857,,18 09 20.3,-20 18 57,10.1567,-0.3357,WN7-8h,NMP15,,,,,,,,,,,,11.923,9.225,7.719,,,,
356,111-1,HD07,HDM7,,,18 09 45.06,-20 17 10.30,10.23,-0.41,WN6o,HD07,,,,,,,,,,,,12.583,11.058,10.135,,,,
683,111-9,KSF14,1381-19L,,,18 12 02.41,-18 06 55.4,12.392,0.167,WC9,KSF14,,,,,,,,15.48,13.86,13.78,,9.66,8.26,7.8,,,,
610,111-5,MDM11,MDM11 33,,,18 12 41.10,-18 26 30.4,12.18,-0.12,WN8-9; WN9,MDM11; RC15,,,,,,,,,,,,13.8,11.97,10.92,,,,
549,111-6,SFZ12,SFZ12 1381-20L,,,18 12 57.27,-18 01 20.7,12.58,0.02,WC9,SFZ12,,,,,,,,,,,,14.24,13.35,10.75,,,,
357,111-2,HD07,HDM8,MDF11 #4,,18 13 14.20,-17 53 43.50,12.72,0.02,WN7b,HD07; MDF11,,,,,,,,20.48,17.57,15.2,,9.619,8.597,7.937,Cl 1813-178,,4.8,MDF11
611,111-4,MDM11; MDF11,MDM11 34,MDF11 #7,,18 13 22.48,-17 53 50.3,12.74,-0.01,WN6; WN7o; WN7,MDM11; MDF11; RC15,,,,,,,,18.63,15.6,16.57,,10.3,9.27,8.66,Cl 1813-178,,4.8,MDF11
726,111-13,MCF15,MCF15 1,,,18 13 34.81,-18 05 41.5,12.585,-0.144,WN6b,MCF15,,,,,,,,,,,,10.17,8.89,8.02,,,,
358,111-3,SM09,SMG09 1385_24,,2MASS J18134247-1728122,18 13 42.47,-17 28 12.20,13.15,0.13,WC8,SMG09,,,,,,,,,,20.02,,11.21,9.7,8.57,,,,
684,111-10,KSF14,1389-4AB6,,,18 14 14.09,-17 21 02.6,13.313,0.075,WC7,KSF14,,,,,,,,,,20.74,,16.131,14.264,12.239,,,,
685,111-11,KSF14,1389-1F5D,,,18 14 17.37,-17 21 54.4,13.307,0.057,WN8,KSF14,,,,,,,,,,,,17.567,13.277,11.052,,,,
721,111-12,MM14,THA 34-30,2MASS J181432.98 -1825148,,18 14 32.98,-18 25 14.8,12.4094,-0.5022,WC9,MM14,,,,,,,,,,,,9.04,7.25,5.76,,,,
550,111-7,SFZ12,SFZ12 1395-86L,,,18 16 02.36,-16 53 59.4,13.92,-0.09,WC8,SFZ12,,,,,,,,,,,,18.08,13.96,11.85,,,,
359,112,VII,GL 2104,,GL 2104,18 16 33.49,-18 58 42.50,12.15,-1.19,WC9d+OB?,MC83,"d.e.l., VB","CM89,SS90,WMS02,VII",,20.1,18.8,,,,,15.8,,8.68,6.26,4.26,,,,
360,113,VII,,HIP 89769,HD 168206,18 19 07.36,-11 37 59.20,18.91,1.75,WC8d+O8-9IV,VI,SB2,"SM89,LM96,NM96,NG99a",10.33,9.89,9.43,9.11,9.6,9.86,9.14,,,7.02,6.28,5.49,,Ser OB2:,,
361,113-1,HD07,HDM9,,,18 19 22.19,-16 03 12.40,15.04,0.39,WN7o,HD07,,,,,,,,16.5,,14.3,,9.088,8.3,7.761,,,,
746,113-3,MMV18,2MASS J18225904-1312311,,,18 22 59.04,-13 12 31.1,17.96061,0.17798,WN4-5,MMV18,,,,,,,,,,,,14.17,12.62,11.68,,,,
362,113-2,SM09,SMG09 1425_47,,2MASS J18230342-1310004,18 23 03.42,-13 10 00.40,18.01,0.18,WC5-6,SMG09,,,,,,,,15.23,14.49,14.41,,10.34,9.28,8.27,,,,
363,114,VII,IC14-17,GSC 5702-1056,HD 169010,18 23 16.39,-13 43 25.80,17.54,-0.13,WC5+OB?,"VI,VII",d.e.l.,"CM89,SS90,VII",14.33,13.86,12.95,12.43,13.55,13,12.08,11.7,,8.98,8.426,7.608,,Ser OB1:,,
551,114-2,SFZ12,SFZ12 1434-43L,,,18 23 32.32,-12 03 58.5,19.03,0.59,WC8,SFZ12,,,,,,,,,,,,14.45,12.9,11.69,,,,
747,114-3,MMV18,2MASS J18244626-1154270,,,18 24 46.26,-11 54 27.0,19.31448,0.40202,WN4-5,MMV18,,,,,,,,,,,,13.4,12.28,11.42,,,,
364,114-1,HD07,HDM10,KSF14 1446-B1D,,18 25 00.24,-10 33 23.60,20.536,0.983,WN7b; WN6,HD07; KSF14,,,,,,,,,,17.24,,12.21,11.236,10.611,,,,
365,115,VII,MR 87,HIP 90299,IC14-19,18 25 30.01,-14 38 40.90,16.98,-1.03,WN6o,SSM96,d.e.l.,"CM89,VII",14.11,13.42,12.32,11.51,13.38,13.02,11.84,,,7.992,7.416,6.945,,Ser OB1:,,
366,115-1,HD07,HDM11,,,18 25 53.09,-13 28 32.40,18.05,0.57,WN6o,HD07,,,,,,,,,,,,10.317,9.521,8.962,,,,
552,115-2,SFZ12; MDM11,SFZ12 1431-34L,MDM11 35,,18 25 53.63,-12 50 03.0,18.62,-0.27,WN8,SFZ12; MDM11,,,,,,,,20.65,,17.43,,11.53,10.13,9.28,,,,
612,115-3,MDM11,MDM11 36,,,18 26 06.11,-13 04 10.4,18.44,-0.43,WN7,MDM11,,,,,,,,15.86,,,,9.59,8.82,8.3,,,,
367,116,VII,AS 306,GSC 5698-3822,St 1,18 27 04.28,-12 22 52.30,19.16,-0.32,WN8h,SSM96,,MMEv98,14.6,13.79,13.38,14.43,,,16.68,10.9,,8.209,7.566,6.955,,,,
368,116-1,MV09,,,2MASS J18281180-1025424,18 28 11.80,-10 25 42.40,21.02,0.35,WC9+OBI,MV10,,,,,,,,17.9,,13.4,,8.36,6.93,5.629,,,,
748,116-4,MMV18,2MASS J18282046-1216364,,,18 28 20.46,-12 16 36.4,19.39449,-0.54221,WN4-5,MMV18,,,,,,,,,,,,14.85,13.09,12.14,,,,
369,116-2,SM09,SMG09 1462_54,,2MASS J18293384-0839021,18 29 33.84,-08 39 02.10,22.75,0.87,WN5,SMG09,,,,,,,,,,,,14.07,12.75,11.93,,,,
613,116-3,MDM11,MDM11 37,,USNO 0796-0404402,18 30 53.20,-10 19 37.0,21.41,-0.19,WN6; WN6ha,MDM11; RC15,,,,,,,,17.24,,14.41,,10.68,9.91,9.43,,,,
370,117,VII,IC14-22,GSC 5124-1254,IC14-22,18 31 02.54,-06 35 49.50,24.74,1.5,WC9d,SS90,,,,15.34,14.19,,,,,12.7,,9.668,8.493,7.355,Do 29?,,,
688,117-2,KSF14,1457-673,,,18 31 06.65,-09 48 01.4,21.904,0.004,WC9d,KSF14,,,,,,,,,,,,14.849,11.444,9.352,,,,
371,117-1,MWC10,XGPS-I J183116-100921,MDM11 38,,18 31 16.51,-10 09 24.30,21.61,-0.2,WN8; WN7,MWC10; MDM11,,,,,,,,,,,,9.09,8.29,7.63,,,,
372,118,VII,GL 2179,,GL 2179,18 31 42.30,-09 59 15.00,21.81,-0.21,WC9d,CV90,,,,25,22,,,,,,,8.1,5.41,3.65,,,,
553,118-4,SFZ12; MDM11,SFZ12 1463-7L,MDM11 39,,18 33 47.64,-09 23 07.7,22.58,-0.39,WC8,SFZ12; MDM11,,,,,,,,,,,,12.18,10.52,9.36,,,,
554,118-7,SFZ12,SFZ12 1477-55L,,,18 35 47.7,-07 17 50.1,24.66,0.13,WC9,SFZ12,,,,,,,,,,,,15.91,12.89,11.01,,,,
375,118-1,MDI09,MDI09 Quartet 5,,2MASS J18361633-0705170,18 36 16.33,-07 05 17.00,24.899,0.122,WC9; WC9d,MDI09; RC15,,,,,,,,,,,,13.22,10.14,8.09,Quartet,,6,MDI09
374,118-2,MDI09,MDI09 Quartet 2,,2MASS J18361669-0704595,18 36 16.69,-07 04 59.50,24.904,0.123,WN9,MDI09,,,,,,,,,,,,10.57,8.66,7.58,Quartet,,6,MDI09
373,118-3,MDI09,MDI09 Quartet 1,,2MASS J18361729-0705073,18 36 17.29,-07 05 07.30,24.903,0.12,WN9,MDI09,,,,,,,,,,,,10.34,8.4,7.38,Quartet,,6,MDI09
689,118-10,KSF14,1485-6C4,,,18 36 55.53,-06 31 02.1,25.48,0.241,WN6,KSF14,,,,,,,,,,,,12.035,10.809,10.02,,,,
614,118-5,MDM11,MDM11 40,,,18 37 51.49,-06 08 41.7,25.92,0.21,WC9d,MDM11,,,,,,,,,,,,12.73,10.74,9.31,,,,
690,118-11,KSF14,1485-844,,,18 37 51.82,-06 31 19.1,25.583,0.032,WN8,KSF14,,,,,,,,,,,,14.724,11.299,9.493,,,,
555,118-8,SFZ12,SFZ12 1487-80L,,,18 38 00.49,-06 26 46.1,25.67,0.03,WC9,SFZ12,,,,,,,,,,,,15.63,13.02,11.29,,,,
556,118-6,SFZ12; MDM11,SFZ12 1483-212L,MDM11 41,,18 38 27.16,-07 10 45.0,25.07,-0.4,WN7:,SFZ12; MDM11,,,,,,,,,,,,13.64,11.73,10.59,,,,
557,118-9,SFZ12,SFZ12 1489-36L,,,18 38 38.94,-06 00 16.0,26.13,0.1,WC9,SFZ12,,,,,,,,,,,,14.78,13.04,11.15,,,,
376,119,VII,The 2,GSC 5696-0847,The 2,18 39 17.91,-10 05 31.10,22.57,-1.92,WC9d,WH00,,,13.65,13.04,12.41,12.21,,,,11.8,,9.5,8.43,7.265,,,,
558,119-2,SFZ12; MDM11,SFZ12 1493-9L,MDM11 42,,18 39 34.58,-05 44 23.2,26.47,0.01,WC8,SFZ12; MDM11,,,,,,,,18.36,,16.96,,11.83,10.49,9.56,,,,
691,119-4,KSF14,1495-1D8A,,,18 39 40.60,-05 35 17.6,26.62,0.059,WC8-9,KSF14,,,,,,,,,,,,14.639,12.362,11.716,,,,
692,119-5,KSF14,1495-705,,,18 39 41.19,-05 57 36.3,26.29,-0.113,WN8,KSF14,,,,,,,,,,,,14.971,11.381,9.16,,,,
559,119-3,SFZ12,SFZ12 1487-212L,,,18 39 42.53,-06 41 46.4,25.64,-0.46,WN7,SFZ12,,,,,,,,,,,,13.27,11.5,10.5,,,,
377,119-1,HD07,HDM12,,,18 40 08.66,-03 29 31.10,28.54,0.92,WN7o,HD07,,,,,,,,,,,,11.766,10.864,10.295,,,,
378,120,VII,MR 89,GSC 5121-0128,Vy1-3,18 41 00.88,-04 26 14.30,27.8,0.29,WN7o,SSM96,,MMEv98,13.86,13.32,12.3,11.63,13.1,12.99,11.94,,,Nan,Nan,Nan,Do 33?,,3.5,LS84
693,120-16,KSF14,1514-AA0,,,18 41 06.79,-02 56 01.0,29.144,0.956,WC8,KSF14,,,,,,,,,,,,12.921,11.244,10.537,,,,
379,120-1,HD07,HDM13,,,18 41 10.70,-04 51 27.00,27.44,0.06,WC9,HD07,,,,,,,,,,,,11.05,10.17,9.445,,,,
560,120-11,SFZ12,SFZ12 1495-32L,,,18 41 23.36,-05 40 58.1,26.73,-0.36,WC8,SFZ12,,,,,,,,17.97,17.39,16.16,,12.35,11.15,10.25,,,,
561,120-7,SFZ12; MDM11,SFZ12 1503-160L,MDM11 43,,18 41 34.06,-05 04 01.4,27.3,-0.12,WN7,SFZ12; MDM11,,,,,,,,19.18,,15.71,,10.22,9.21,8.51,,,,
380,120-2,SM09,SMG09 1509_29,SCB12 2w01,,18 41 48.49,-04 00 12.4,28.27,0.31,WC7,SMG09; SCB12,,,,,,,,,,,,15.95,13.88,12.27,,,,
615,120-8,MDM11,MDM11 44,,,18 42 02.55,-03 56 26.3,28.35,0.29,WN8-9; WN9,MDM11; RC15,,,,,,,,,,,,12.86,10.82,9.66,,,,
381,120-3,MW10,,,2MASS J18420630-0348224,18 42 06.30,-03 48 22.40,28.481,0.34,WN8-9h; WN9h,MW10; BGS12,,,,,,,,,,,,11.95,10.22,9.16,,,,
382,120-4,MW10,,,2MASS J18420827-0351029,18 42 08.27,-03 51 02.90,28.45,0.31,WN8-9h; WN9h,MW10; BGS12,,,,,,,,,,,,11.85,10.26,9.27,,,,
383,120-5,MW10,SCB12 2w02,,2MASS J18420846-0349352,18 42 08.47,-03 49 35.2,28.47,0.32,WC8,MW10; SCB12,,,,,,,,,,,16.9,12.24,11,10.06,,,,
652,120-14,SCB12,SCB12 2w03,,,18 42 22.17,-03 05 39.6,29.1,0.6,WC8,SCB12,,,,,,,,,,,,14.45,12.88,11.64,,,,
694,120-17,KSF14,1509-2E64,,,18 42 26.61,-03 56 36.0,28.398,0.199,WC9,KSF14,,,,,,,,,,,,15.775,14.87,12.446,,,,
384,120-6,WM10,PN G029.0+00.4,WM10 50,,18 42 46.92,-03 13 17.20,29.08,0.45,WN6,WM10,,,,,,,,,,,,13.508,12.834,12.325,,,,
653,120-15,SCB12,SCB12 2w04,,,18 43 17.23,-03 08 56.6,29.2,0.37,WC8,SCB12,,,,,,,,,,,16.8,12.69,11.37,10.66,,,,
562,120-12,SFZ12,SFZ12 1513-111L,SCB12 2w05,,18 43 17.28,-03 20 23.7,29.03,0.29,WC7:; WC8,SFZ12; SCB12,,,,,,,,,,,,17.69,14.65,12.54,,,,
616,120-9,MDM11,MDM11 45,,,18 43 32.57,-04 04 19.0,28.41,-0.1,WN7; WN7ha,MDM11; RC15,,,,,,,,,,,,15.15,12.55,11.14,,,,
563,120-13,SFZ12,SFZ12 1522-55L,,,18 43 39.65,-02 29 35.9,29.83,0.59,WC9,SFZ12,,,,,,,,,,,,13.41,12.24,11.47,,,,
564,120-10,SFZ12; MDM11,SFZ12 1517-138L,MDM11 46,,18 43 58.03,-02 45 17.1,29.63,0.4,WN7,SFZ12; MDM11,,,,,,,,17.96,16.25,14.3,,10,9.16,8.53,,,,
385,121,VII,AS 320,HIP 91911,AS 320,18 44 13.15,-03 47 57.80,28.73,-0.13,WC9d,VI,,MMH98,14.26,13.38,12.41,12.01,13.7,13.34,11.94,,,8.295,7.056,5.773,,Anon. Sct OB?,,
749,121-15,MMV18,2MASS J18442065-0236510,,,18 44 20.65,-02 36 51.0,29.79678,0.38493,WN4-5,MMV18,,,,,,,,,,,,12.74,11.57,10.72,,,,
